burial,secondary_structure,chem_transition,n,mean_error,median_error,pct_utilization_failure,pct_content_failure
buried,loop,charged_to_nonpolar,941,5.085468261597557,4.560553048909044,85.54729011689692,14.452709883103083
buried,helix,nonpolar_to_charged,3246,4.723799093575481,4.5924534007921105,94.20825631546519,5.791743684534808
buried,helix,charged_to_nonpolar,1426,4.478320433442225,3.704657162791847,83.5203366058906,16.479663394109394
buried,loop,nonpolar_to_charged,3288,4.4173311710707885,4.133533489937164,85.27980535279805,14.72019464720195
buried,sheet,nonpolar_to_charged,1767,4.385503199631106,4.04695030896033,87.04018109790606,12.959818902093943
buried,sheet,charged_to_nonpolar,1073,4.089387885388696,3.607023915349593,89.28238583410997,10.717614165890026
buried,loop,charged_to_polar,638,4.0888969217860796,3.6905922529123316,85.26645768025078,14.733542319749219
buried,helix,nonpolar_to_polar,4292,3.956830403125213,3.666160141431474,94.36160298229264,5.638397017707362
buried,loop,charged_to_charged,412,3.9303143841386836,3.3622137470010296,85.92233009708737,14.077669902912632
buried,helix,charged_to_polar,968,3.9095851344679717,3.091885003161436,83.67768595041323,16.322314049586765
buried,loop,nonpolar_to_polar,4292,3.763425073668941,3.3209875276245713,85.41472506989749,14.585274930102514
buried,loop,nonpolar_to_nonpolar,5862,3.632446331373683,2.965087709211522,85.68747867621973,14.312521323780274
buried,helix,nonpolar_to_nonpolar,5926,3.6277053503000425,3.051703017829678,94.4313196085049,5.568680391495107
exposed,helix,charged_to_nonpolar,8790,3.586181481426757,3.1140516953797777,97.45164960182025,2.5483503981797497
buried,sheet,nonpolar_to_polar,2542,3.5502914347427255,2.8801440549104047,88.00157356412274,11.998426435877263
buried,helix,polar_to_nonpolar,1536,3.547810904549943,2.9725995006389754,87.17447916666666,12.825520833333343
buried,helix,charged_to_charged,628,3.3518763439617647,2.374766454549455,82.80254777070064,17.19745222929936
buried,helix,polar_to_charged,838,3.34115629501935,2.446088663038992,86.63484486873509,13.365155131264913
buried,loop,polar_to_nonpolar,2345,3.310704423586012,2.829340184494097,78.89125799573561,21.108742004264386
exposed,loop,charged_to_nonpolar,10277,3.2893788434273836,2.6976136738404617,94.96934903181862,5.0306509681813765
buried,helix,polar_to_polar,854,3.251415500027816,2.7688573841314517,87.11943793911007,12.880562060889929
buried,sheet,nonpolar_to_nonpolar,3541,3.1909315176844206,2.410511556992259,88.56255295114374,11.437447048856257
buried,sheet,charged_to_polar,720,3.100603571999041,2.4467700539416404,89.58333333333334,10.416666666666657
exposed,loop,nonpolar_to_nonpolar,8509,3.1000101045327773,2.4083985256753166,93.39522858150194,6.604771418498061
exposed,loop,polar_to_nonpolar,8066,3.065608965963835,2.5330665395244307,95.74758244483014,4.252417555169856
buried,loop,polar_to_charged,1276,2.9912578438280986,2.4667507008458616,78.52664576802508,21.473354231974923
exposed,helix,charged_to_polar,5905,2.9817865840499485,2.3669858828249613,97.51058425063506,2.4894157493649374
buried,sheet,polar_to_nonpolar,1085,2.9345639293217785,2.107647809709044,84.60829493087557,15.391705069124427
buried,loop,polar_to_polar,1301,2.8986516356269685,2.3449452729425917,78.78554957724828,21.214450422751725
exposed,helix,nonpolar_to_charged,2426,2.8969244249415254,1.8925586660736828,94.06430338004947,5.935696619950534
exposed,sheet,charged_to_nonpolar,2212,2.8656956167329986,2.4341359838707985,90.55153707052442,9.448462929475582
exposed,sheet,nonpolar_to_nonpolar,1478,2.8182316556729394,1.847240006424019,88.1596752368065,11.840324763193493
exposed,helix,nonpolar_to_nonpolar,3814,2.777298843800681,2.1170566207976664,93.91714735186156,6.0828526481384415
exposed,sheet,nonpolar_to_charged,923,2.7749397176286013,1.9585204232023967,88.08234019501626,11.917659804983742
exposed,loop,nonpolar_to_polar,6380,2.719222998134882,2.0707448741662544,93.41692789968651,6.583072100313487
exposed,helix,nonpolar_to_polar,2891,2.7106027455969897,1.958277751717008,94.15427187824282,5.845728121757176
exposed,sheet,nonpolar_to_polar,1142,2.704478797816457,1.8667426136285044,88.09106830122592,11.908931698774083
exposed,helix,polar_to_nonpolar,4103,2.668253663984534,2.034963867418476,96.58786253960517,3.412137460394831
buried,sheet,polar_to_polar,582,2.64086747873018,1.6977068733265446,84.70790378006873,15.292096219931267
buried,sheet,polar_to_charged,574,2.6405879760617488,1.7004834632606016,84.8432055749129,15.1567944250871
exposed,sheet,polar_to_nonpolar,1570,2.6084931816060126,1.9377719227787544,92.80254777070064,7.197452229299358
exposed,loop,charged_to_polar,6824,2.6015882899302087,1.9837081101045073,94.90035169988276,5.099648300117238
exposed,loop,polar_to_polar,4450,2.562917877819478,1.935741415866276,95.66292134831461,4.337078651685388
buried,sheet,charged_to_charged,472,2.5487978116882104,1.848245996209749,89.40677966101694,10.593220338983059
exposed,loop,nonpolar_to_charged,5358,2.540432683627349,1.79983599948104,93.48637551325122,6.513624486748782
exposed,helix,charged_to_charged,3966,2.498278538932422,1.7897837699903427,97.57942511346445,2.4205748865355474
exposed,helix,polar_to_polar,2288,2.3423100932516867,1.6614455558213228,96.80944055944056,3.19055944055944
exposed,loop,polar_to_charged,4492,2.3048493656251665,1.587974500679148,95.90382902938558,4.096170970614423
exposed,sheet,polar_to_polar,864,2.3012358170673073,1.613079565361026,93.28703703703704,6.712962962962962
exposed,sheet,charged_to_polar,1504,2.261494267927634,1.680971730818667,90.42553191489363,9.574468085106375
exposed,loop,charged_to_charged,4570,2.2340125303248977,1.6043570534263432,94.83588621444201,5.164113785557987
exposed,sheet,polar_to_charged,876,2.081132924652988,1.41960357987295,93.2648401826484,6.735159817351601
exposed,sheet,charged_to_charged,1006,1.9349445132681096,1.4548786595902872,91.05367793240556,8.946322067594437
exposed,helix,polar_to_charged,2317,1.9313660473287857,1.3060880347372104,96.71989641778161,3.2801035822183877
