protein_id,shift,n_corr,n_matched,pct_matched
1GL5.pdb,1,2144,2144,100.0
1H8K.pdb,0,2022,2022,100.0
1K1V.pdb,0,1520,1520,100.0
1LP1.pdb,0,1035,1035,100.0
2AMI.pdb,2,2664,2664,100.0
2GP8.pdb,0,723,723,100.0
2JZ2.pdb,0,1025,1025,100.0
2KCM.pdb,0,2394,2394,100.0
2L2D.pdb,13,635,635,100.0
2LO1.pdb,5,2430,2430,100.0
2LYQ.pdb,1,1175,1175,100.0
2M6Y.pdb,14,1068,1068,100.0
2MCK.pdb,8,228,68,29.82456140350877
2OCH.pdb,2,2144,2144,100.0
2QFF.pdb,2,1184,1184,100.0
2RJV.pdb,3,2372,2372,100.0
3L1X.pdb,1,2214,2214,100.0
5OAO.pdb,11,1970,1970,100.0
5UP5.pdb,1,649,649,100.0
5Z2S.pdb,0,1290,1290,100.0
